###一聲 ###
ㄧㄣˊ	yin2
ㄧㄤˊ	yang2
ㄧㄥˊ	ying2
ㄨㄚˊ	wa2
#ㄨㄛˊ	wo2
#ㄨㄞˊ	wai2
ㄨㄟˊ	wei2
ㄨㄢˊ	wan2
ㄨㄣˊ	wen2
ㄨㄤˊ	wang2
#ㄨㄥˊ	weng2
ㄩㄝˊ	yue2
ㄩㄢˊ	yuan2
ㄩㄣˊ	yun2
ㄩㄥˊ	yong2
###三聲 ###
ㄓˇ	zhi3
ㄔˇ	chi3
ㄕˇ	shi3
#ㄖˇ	ri3
ㄗˇ	zi3
ㄘˇ	ci3
ㄙˇ	si3
ㄧˇ	yi3
ㄨˇ	wu3
ㄩˇ	yu3
ㄚˇ	a3
ㄛˇ	o3
ㄜˇ	e3
ㄝˇ	eh3
ㄞˇ	ai3
ㄟˇ	ei3
ㄠˇ	ao3
ㄡˇ	ou3
ㄢˇ	an3
